StrideIndex,NormalizedTime,emg_vastusmedialis,emg_vastuslateralis,emg_rectusfemoris,emg_bicepsfemoris,emg_semitendinosus,emg_gracilis,imu_thigh_Accel_X,imu_thigh_Accel_Y,imu_thigh_Accel_Z,imu_thigh_Gyro_X,imu_thigh_Gyro_Y,imu_thigh_Gyro_Z,gon_knee_sagittal,ankle_sagittal
1,56,-0.0095571,-0.0666381,2.05910979,0.21473098,0.17974284,2.26883853,-1.6898851,-1.059665,0.75842338,0.49197911,-0.8215142,4.9998119,-32.679125,-25.675946
1,57,-0.0294611,-0.0604525,1.95199225,0.20230601,0.17116855,2.14774868,-1.7765564,-1.0085792,0.32763565,1.95251181,-0.8182418,4.45543723,-35.575911,-26.181732
1,58,-0.0343792,-0.0473323,1.78347736,0.18693776,0.16048056,2.0300688,-2.0011098,-0.7258673,-0.0120283,3.08476733,-0.6458217,4.46193322,-38.355606,-25.224897
1,59,-0.0286446,-0.0307424,1.56747855,0.16988117,0.14868752,1.92165025,-1.9930531,-0.3454622,-0.4289993,3.98485659,-0.2713882,4.55259469,-40.937113,-23.002043
1,60,-0.0163182,-0.0135573,1.32136065,0.15229915,0.13673095,1.82539795,-1.9895108,-0.0052687,-0.5637013,3.81572936,-0.2686174,4.97022518,-43.250574,-20.085412
1,61,-0.0007857,0.00207217,1.06312264,0.13517439,0.12534891,1.7414378,-1.9918788,-0.1023955,-0.4370179,3.05368992,-0.5664517,5.34268608,-45.384076,-17.070235
1,62,0.01527682,0.01475578,0.8098879,0.11924065,0.11497556,1.66718922,-1.9936618,-0.4037726,-0.4058026,2.24789694,-0.8880816,4.90435029,-47.572066,-14.347146
1,63,0.03000383,0.02377651,0.57623868,0.10495219,0.10570919,1.59828122,-1.9929186,-0.6774822,-0.5310995,1.20560984,-1.2373937,4.57960589,-50.041088,-12.0294
1,64,0.04228689,0.02905004,0.37311626,0.0924508,0.0973017,1.52926661,-1.986896,-0.7909481,-0.6236778,0.28139569,-1.4635826,4.65149067,-52.781504,-9.9878448
1,65,0.05165123,0.03094736,0.20764388,0.08161663,0.08923135,1.45465301,-1.876827,-0.7402777,-0.6333224,-0.1855039,-1.4516765,4.77149465,-55.527288,-8.0329231
1,66,0.05812142,0.03017634,0.08294543,0.07211999,0.08080047,1.36977423,-1.7134752,-0.604548,-0.5379705,-0.4491337,-1.29334,4.6998614,-57.916229,-6.0096654
1,67,0.06204325,0.02761741,-0.0013447,0.06351979,0.07127756,1.27144538,-1.5713229,-0.4802468,-0.4076984,-0.696938,-1.2315809,4.55725657,-59.641136,-3.8780528
1,68,0.06391052,0.02418197,-0.0482933,0.05536989,0.06004806,1.15827486,-1.3737895,-0.4182504,-0.3192658,-0.9304425,-1.2412048,4.40499209,-60.566453,-1.7213299
1,69,0.06423627,0.02070142,-0.0631603,0.04732061,0.04678857,1.03090349,-1.1421314,-0.409183,-0.3285938,-1.3117779,-1.2717217,4.16407082,-60.720084,0.29766653
1,70,0.06342265,0.01784036,-0.0521232,0.03921399,0.03158895,0.89177901,-0.972586,-0.4444402,-0.3430249,-1.6841117,-1.3660157,3.9419128,-60.244093,2.0073308
1,71,0.0617238,0.01604022,-0.0220254,0.0311554,0.0151074,0.74525601,-0.7767368,-0.5030332,-0.3809003,-1.9367667,-1.4089229,3.70604373,-59.349335,3.3119783
